Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Dumb Money,1h 45m,R,6.9,20703794.0,['Craig Gillespie'],"['Lauren Schuker Blum', 'Rebecca Angelo', 'Ben Mezrich']","['Paul Dano', 'Pete Davidson', ""Vincent D'Onofrio""]",Financial Drama,['United States'],"['Jersey City, New Jersey, USA']",['English'],
Nimona,1h 41m,PG,7.5,nan,"['Nick Bruno', 'Troy Quane']","['Robert L. Baird', 'Lloyd Taylor', 'Pamela Ribon']","['Chloë Grace Moretz', 'Riz Ahmed', 'Eugene Lee Yang']",Sword & Sorcery,"['United States', 'United Kingdom', 'France']","['Greenwich, Connecticut, USA']",['English'],
Tillu Square,2h 17m,nan,6.6,2250679.0,['Mallik Ram'],"['Ravi Anthony', 'Sidhu Jonnalagadda']","['Anupama Parameswaran', 'Murli Sharma', 'Sidhu Jonnalagadda']",Crime,['India'],[],['Telugu'],
Scrambled,1h 40m,R,5.8,422555.0,['Leah McKendrick'],['Leah McKendrick'],"['Leah McKendrick', 'Ego Nwodim', 'Andrew Santino']",Comedy,['United States'],"['Lake Hollywood Park, Los Angeles, California, USA']",['English'],
2073,1h 25m,nan,5.2,7125.0,['Asif Kapadia'],"['Asif Kapadia', 'Tony Grisoni']","['Samantha Morton', 'Naomi Ackie', 'Hector Hewer']",Thriller,"['United Kingdom', 'United States']",[],['English'],
Vicky Vidya Ka Woh Wala Video,2h 32m,nan,5.2,437493.0,['Raaj Shaandilyaa'],"['Rajan Agarwal', 'Ishrat R. Khan', 'Yusuf ali Khan']","['Rajkummar Rao', 'Triptii Dimri', 'Vijay Raaz']",Slapstick,['India'],"['Rishikesh, Uttarakhand, India']",['Hindi'],
I Can,1h 25m,PG,6.6,233110.0,['Tyler Sansom'],['Evan Mitchum'],"['Daniel Roebuck', 'Cameron Arnett', 'Vernon Wells']",Drama,['United States'],[],['English'],
The Three Musketeers - Part II: Milady,1h 55m,nan,6.4,15439299.0,['Martin Bourboulon'],"['Matthieu Delaporte', 'Alexandre de La Patellière', 'Alexandre Dumas']","['François Civil', 'Vincent Cassel', 'Romain Duris']",History,"['France', 'Germany', 'Spain', 'Belgium']",['France'],"['French', 'English']",
Family Pack,1h 34m,TV-MA,5.5,nan,['François Uzan'],"['François Uzan', 'Céleste Balin', 'Hervé Marly']","['Franck Dubosc', 'Jean Reno', 'Suzanne Clément']",Fantasy,['France'],"['Prague, Czech Republic']",['French'],
Salaar,2h 55m,Not Rated,6.6,11958548.0,['Prashanth Neel'],"['Sandeep Reddy Bandla', 'Manish Bhavan', 'Choudary Hanuman']","['Prabhas', 'Karthikeya Dev', 'Prithviraj Sukumaran']",Action Epic,['India'],"['Hyderabad, Telangana, India']",['Telugu'],
Mafia Wars,1h 34m,R,3.4,nan,['Scott Windhauser'],['Scott Windhauser'],"['Tom Welling', 'Cam Gigandet', 'Cher Cosenza']",Action,['United States'],[],['English'],
Joy,1h 55m,PG-13,7.1,nan,['Ben Taylor'],"['Jack Thorne', 'Rachel Mason', 'Emma Gordon']","['Thomasin McKenzie', 'James Norton', 'Bill Nighy']",Drama,['United Kingdom'],"['Manchester, Greater Manchester, England, UK']",['English'],
Ransomed,2h 12m,Not Rated,6.6,8101634.0,['Kim Seong-hun'],"['Yeo Jung-mi', 'Kim Jung-yeon']","['Burn Gorman', 'Ju Ji-hoon', 'Daniel C Kennedy']",Thriller,['South Korea'],['Morocco'],"['Korean', 'Arabic', 'English']",
Carol Doda Topless at the Condor,1h 40m,R,6.8,99356.0,"['Marlo McKenzie', 'Jonathan Parker']","['Marlo McKenzie', 'Jonathan Parker']","['Philip DerDevanis', 'Carol Doda', 'Charlie Farrugia']",Biography,['United States'],[],['English'],
Afraid,1h 24m,PG-13,5.2,12977758.0,['Chris Weitz'],['Chris Weitz'],"['John Cho', 'Katherine Waterston', 'Keith Carradine']",Artificial Intelligence,"['United States', 'United Kingdom']","['Pacific Palisades California, USA']",['English'],
America's Burning,1h 23m,nan,6.6,11325.0,['David Smick'],[],"['James Carville', 'Amy Chua', 'Michael Douglas']",Documentary,['United States'],[],[],
Bonhoeffer: Pastor. Spy. Assassin.,2h 13m,PG-13,6.6,12113004.0,['Todd Komarnicki'],['Todd Komarnicki'],"['Jonas Dassler', 'Phileas Heyblom', 'August Diehl']",Drama,"['Belgium', 'Ireland']","['Limerick, Ireland']",['English'],
The Marsh King's Daughter,1h 49m,R,5.9,3296734.0,['Neil Burger'],"['Elle Smith', 'Mark L. Smith', 'Karen Dionne']","['Daisy Ridley', 'Ben Mendelsohn', 'Brooklynn Prince']",Mystery,['United States'],"['Alliston, Ontario, Canada']",['English'],
Limbo,1h 48m,nan,6.1,262990.0,['Ivan Sen'],['Ivan Sen'],"['Simon Baker', 'Rob Collins', 'Natasha Wanganeen']",Thriller,['Australia'],"['Outback, South Australia, Australia']",['English'],
American Fiction,1h 57m,R,7.5,22483370.0,['Cord Jefferson'],"['Cord Jefferson', 'Percival Everett']","['Jeffrey Wright', 'Tracee Ellis Ross', 'John Ortiz']",Comedy,['United States'],"['Scituate, Massachusetts, USA']",['English'],
Unstoppable,1h 56m,PG-13,6.8,nan,['William Goldenberg'],"['Eric Champnella', 'Alex Harris', 'John Hindman']","['Jharrel Jerome', 'Anthony Robles', 'Jennifer Lopez']",Sport,['United States'],"['Tempe, Arizona, USA']",['English'],
The Iron Claw,2h 12m,R,7.6,45204449.0,['Sean Durkin'],['Sean Durkin'],"['Zac Efron', 'Jeremy Allen White', 'Harris Dickinson']",Biography,"['United Kingdom', 'United States']","['Baton Rouge, Louisiana, USA']",['English'],
Anaconda,1h 24m,nan,4.8,nan,"['Hesheng Xiang', 'Qiuliang Xiang']",['Foxfoxbee'],"['Ziqi Wang', 'Nita Lei', 'Xingchen Wang']",Adventure,"['China', 'United States']","['Beijing Film Academy, Beijing, China']","['Chinese', 'Mandarin', 'Cantonese']",
Aavesham,2h 35m,nan,7.8,3694257.0,['Jithu Madhavan'],['Jithu Madhavan'],"['Fahadh Faasil', 'Hipzster', 'Mithun Jai Shankar']",Action,['India'],[],['Malayalam'],
The Critic,1h 41m,R,6.0,3270456.0,['Anand Tucker'],"['Patrick Marber', 'Anthony Quinn']","['Ian McKellen', 'Alfred Enoch', 'Matthew Cottle']",Crime,"['United Kingdom', 'United States']","['Wimbledon Theatre, Wimbledon, London, England, UK']",['English'],
The Front Room,1h 34m,R,4.6,3165361.0,"['Max Eggers', 'Sam Eggers']","['Susan Hill', 'Max Eggers', 'Sam Eggers']","['Brandy Norwood', 'Andrew Burnap', 'Kathryn Hunter']",Thriller,['United States'],"['Florham Park, New Jersey, USA']",['English'],
Despatch,2h 33m,nan,4.5,nan,['Kanu Behl'],"['Ishani Banerjee', 'Kanu Behl']","['Manoj Bajpayee', 'Shahana Goswami', 'Arrchita Agarwaal']",Drama,['India'],[],['Hindi'],
The Paragon,1h 25m,nan,6.9,4658.0,['Michael Duignan'],['Michael Duignan'],"['Benedict Wall', 'Florence Noble', 'Jessica Grace Smith']",Comedy,['New Zealand'],"['New Lynn, Auckland, New Zealand']",['English'],
Anaconda,1h 24m,nan,4.8,nan,"['Hesheng Xiang', 'Qiuliang Xiang']",['Foxfoxbee'],"['Ziqi Wang', 'Nita Lei', 'Xingchen Wang']",Adventure,"['China', 'United States']","['Beijing Film Academy, Beijing, China']","['Chinese', 'Mandarin', 'Cantonese']",
The Beast,2h 26m,Unrated,6.5,760979.0,['Bertrand Bonello'],"['Benjamin Charbit', 'Guillaume Bréaud', 'Henry James']","['Léa Seydoux', 'George MacKay', 'Guslagie Malanda']",Romance,"['France', 'Canada']","['Paris, France']","['French', 'English']",
