Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Sci-Fi,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],
Ambulance,2h 16m,R,6.1,52303589.0,['Michael Bay'],"['Chris Fedak', 'Laurits Munch-Petersen', 'Lars Andreas Pedersen']","['Jake Gyllenhaal', 'Yahya Abdul-Mateen II', 'Eiza González']",Crime,"['United States', 'Japan']","['Grand Central Market - 317 S. Broadway, Downtown, Los Angeles, California, USA']","['English', 'Spanish', 'Cantonese']",
The Devil Conspiracy,1h 51m,R,4.6,984341.0,['Nathan Frankowski'],['Ed Alan'],"['Alice Orr-Ewing', 'Joe Doyle', 'Eveline Hall']",Horror,['Czech Republic'],['Czech Republic'],"['English', 'Italian']",
The Railway Children Return,1h 39m,PG,5.5,4298731.0,['Morgan Matthews'],"['Daniel Brocklehurst', 'Jemma Rodgers', 'Lionel Jeffries']","['Beau Gadsdon', 'Eden Hamilton', 'Zac Cudby']",Adventure,"['United States', 'United Kingdom']","['Brontë Parsonage Museum, Church Street, Haworth, Keighley, Bradford, West Yorkshire, England, UK']",['English'],
The Railway Children Return,1h 39m,PG,5.5,4298731.0,['Morgan Matthews'],"['Daniel Brocklehurst', 'Jemma Rodgers', 'Lionel Jeffries']","['Beau Gadsdon', 'Eden Hamilton', 'Zac Cudby']",Drama,"['United States', 'United Kingdom']","['Brontë Parsonage Museum, Church Street, Haworth, Keighley, Bradford, West Yorkshire, England, UK']",['English'],
Joyland,2h 6m,nan,7.6,1164351.0,['Saim Sadiq'],"['Saim Sadiq', 'Maggie Briggs']","['Ali Junejo', 'Rasti Farooq', 'Alina Khan']",Crime,"['Pakistan', 'United States']",[],"['Punjabi', 'Urdu']",
The Eternal Daughter,1h 36m,PG-13,5.9,568330.0,['Joanna Hogg'],['Joanna Hogg'],"['Tilda Swinton', 'Louis', 'August Joshi']",Mystery,"['United Kingdom', 'Ireland', 'United States']",['Wales'],['English'],
Unfavorable Odds,1h 20m,PG-13,3.2,86203.0,['Michael A. Pinckney'],"['Corey Toney', 'Edna Janeen White', 'Tony D. White']","['Charles Ambrose', 'Grayson Berry', 'Nathan Blaze']",Comedy,['United States'],[],['English'],
Immediate Family,1h 42m,nan,8.0,66379.0,['Denny Tedesco'],[],"['Phil Collins', 'Lyle Lovett', 'Keith Richards']",Music,['United States'],[],['English'],
Vandits,1h 29m,nan,5.2,7903.0,['Stuart Stone'],"['Adam Rodness', 'Stuart Stone']","['Tony Nappo', 'Victoria Gwendoline', 'Francesco Antonio']",Thriller,['Canada'],"['Selkirk, Manitoba, Canada']",['English'],
The Weekend Away,1h 29m,TV-14,5.7,nan,['Kim Farrant'],['Sarah Alderson'],"['Leighton Meester', 'Christina Wolfe', 'Ziad Bakri']",Drama,"['United States', 'United Kingdom']","['Split, Croatia']","['English', 'Croatian']",
Look Both Ways,1h 50m,TV-14,6.3,nan,['Wanuri Kahiu'],['April Prosser'],"['Lili Reinhart', 'Danny Ramirez', 'Aisha Dee']",Feel-Good Romance,['United States'],"['Austin, Texas, USA']",['English'],
The Sea Beast,1h 55m,PG,7.0,nan,['Chris Williams'],"['Chris Williams', 'Nell Benjamin', 'Sam Stratton']","['Karl Urban', 'Zaris-Angel Hator', 'Jared Harris']",Family,['United States'],[],"['English', 'Persian']",
The Stranger,1h 57m,TV-MA,6.6,149441.0,['Thomas M. Wright'],"['Thomas M. Wright', 'Kate Kyriacou']","['Joel Edgerton', 'Sean Harris', 'Jada Alberts']",Thriller,['Australia'],"['Adelaide, South Australia, Australia']",['English'],
I Want You Back,1h 56m,R,6.5,nan,['Jason Orley'],"['Isaac Aptaker', 'Elizabeth Berger']","['Charlie Day', 'Jenny Slate', 'Scott Eastwood']",Romance,['United States'],"['Atlanta, Georgia, USA']",['English'],
Expensive Candy,1h 44m,nan,6.0,nan,['Jason Paul Laxamana'],['Jason Paul Laxamana'],"['Julia Barretto', 'Carlo Aquino', 'Germaine De Leon']",Romance,['Philippines'],"['Angeles City, Pampanga, Philippines']","['Tagalog', 'Filipino']",
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",History,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",
Three Thousand Years of Longing,1h 48m,R,6.7,20282422.0,['George Miller'],"['George Miller', 'Augusta Gore', 'A.S. Byatt']","['Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu']",Fairy Tale,"['Australia', 'United States']","['University of Sydney, Camperdown, Sydney, New South Wales, Australia']","['English', 'Greek, Ancient (to 1453)', 'Turkish', 'German', 'French', 'Russian']",
Brahmastra Part One: Shiva,2h 47m,Not Rated,5.6,50164785.0,['Ayan Mukerji'],"['Hussain Dalal', 'Ayan Mukerji']","['Amitabh Bachchan', 'Ranbir Kapoor', 'Alia Bhatt']",Adventure,"['India', 'United Kingdom', 'United States']","['Sikkim, India']","['Hindi', 'English']",
Brahmastra Part One: Shiva,2h 47m,Not Rated,5.6,50164785.0,['Ayan Mukerji'],"['Hussain Dalal', 'Ayan Mukerji']","['Amitabh Bachchan', 'Ranbir Kapoor', 'Alia Bhatt']",Fantasy,"['India', 'United Kingdom', 'United States']","['Sikkim, India']","['Hindi', 'English']",
Breaking,1h 43m,PG-13,6.3,2806359.0,['Abi Damaris Corbin'],"['Abi Damaris Corbin', 'Kwame Kwei-Armah', 'Aaron Gell']","['John Boyega', 'Nicole Beharie', 'Selenis Leyva']",Docudrama,"['United States', 'United Kingdom']","['Los Angeles, California, USA']",['English'],
Emily the Criminal,1h 37m,R,6.7,2157673.0,['John Patton Ford'],['John Patton Ford'],"['Aubrey Plaza', 'Theo Rossi', 'Bernardo Badillo']",Psychological Thriller,['United States'],"['Puerto Vallarta, Jalisco, Mexico']","['English', 'Arabic', 'Spanish', 'Korean']",
Vikram,2h 55m,Not Rated,8.3,29837637.0,['Lokesh Kanagaraj'],"['Lokesh Kanagaraj', 'Rathna Kumar']","['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil']",Action,['India'],"['Karaikudi, Tamil Nadu, India']",['Tamil'],
Vikram,2h 55m,Not Rated,8.3,29837637.0,['Lokesh Kanagaraj'],"['Lokesh Kanagaraj', 'Rathna Kumar']","['Kamal Haasan', 'Vijay Sethupathi', 'Fahadh Faasil']",Crime,['India'],"['Karaikudi, Tamil Nadu, India']",['Tamil'],
The Roundup,1h 46m,nan,7.0,101166707.0,['Lee Sang-yong'],"['Ma Dong-seok', 'Min-Seong Kim', 'Young-jong Lee']","['Ma Dong-seok', 'Son Suk-ku', 'Choi Gwi-hwa']",Crime,['South Korea'],"['Ho Chi Minh City, Vietnam']",['Korean'],
The Roundup,1h 46m,nan,7.0,101166707.0,['Lee Sang-yong'],"['Ma Dong-seok', 'Min-Seong Kim', 'Young-jong Lee']","['Ma Dong-seok', 'Son Suk-ku', 'Choi Gwi-hwa']",Thriller,['South Korea'],"['Ho Chi Minh City, Vietnam']",['Korean'],
Shin Ultraman,1h 52m,nan,6.4,32137136.0,"['Shinji Higuchi', 'Ikki Todoroki']","['Hideaki Anno', 'Eiji Tsuburaya']","['Takumi Saitô', 'Masami Nagasawa', 'Hidetoshi Nishijima']",Action,['Japan'],"['Tokyo, Japan']","['Japanese', 'English', 'Russian']",
Shin Ultraman,1h 52m,nan,6.4,32137136.0,"['Shinji Higuchi', 'Ikki Todoroki']","['Hideaki Anno', 'Eiji Tsuburaya']","['Takumi Saitô', 'Masami Nagasawa', 'Hidetoshi Nishijima']",Drama,['Japan'],"['Tokyo, Japan']","['Japanese', 'English', 'Russian']",
Both Sides of the Blade,1h 56m,Unrated,6.1,1769291.0,['Claire Denis'],"['Christine Angot', 'Claire Denis']","['Juliette Binoche', 'Vincent Lindon', 'Grégoire Colin']",Drama,['France'],[],['French'],
Both Sides of the Blade,1h 56m,Unrated,6.1,1769291.0,['Claire Denis'],"['Christine Angot', 'Claire Denis']","['Juliette Binoche', 'Vincent Lindon', 'Grégoire Colin']",Romance,['France'],[],['French'],
Project Wolf Hunting,2h 2m,nan,6.0,3872374.0,['Hongsun Kim'],['Hongsun Kim'],"['Seo In-guk', 'Jang Dong-yoon', 'Jung So-min']",Serial Killer,['South Korea'],['Singapore'],"['Korean', 'Japanese', 'Filipino', 'English']",
Pretty Problems,1h 43m,nan,5.6,11400.0,['Kestrin Pantera'],"['Britt Rentschler', 'Michael Tennant', 'Charlotte Ubben']","['Britt Rentschler', 'Michael Tennant', 'J.J. Nolan']",Romance,['United States'],"['Healdsburg, California, USA']",['English'],
Day Shift,1h 53m,R,6.1,nan,['J.J. Perry'],"['Tyler Tice', 'Shay Hatten']","['Jamie Foxx', 'Dave Franco', 'Natasha Liu Bordizzo']",One-Person Army Action,['United States'],"['Atlanta, Georgia, USA']","['English', 'Spanish']",
Nope,2h 10m,R,6.8,171235592.0,['Jordan Peele'],['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']",Sci-Fi,"['Canada', 'Japan', 'United States']","['Firestone Ranch, Agua Dulce, California, USA']","['English', 'Spanish']",
