Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
The Batman,2h 56m,PG-13,7.8,772319315.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Mystery,['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['English', 'Spanish', 'Latin', 'Italian']",2022
The Batman,2h 56m,PG-13,7.8,772319315.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Thriller,['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['English', 'Spanish', 'Latin', 'Italian']",2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Superhero,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Romance,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Sci-Fi,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Animal Adventure,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Comedy,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Family,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Fantasy,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Ticket to Paradise,1h 44m,PG-13,6.1,168770985.0,['Ol Parker'],"['Ol Parker', 'Daniel Pipski']","['George Clooney', 'Sean Lynch', 'Julia Roberts']",Drama,"['United Kingdom', 'Japan', 'United States']","['Airlie Beach, Queensland, Australia']","['English', 'Indonesian', 'Italian', 'French']",2022
Ticket to Paradise,1h 44m,PG-13,6.1,168770985.0,['Ol Parker'],"['Ol Parker', 'Daniel Pipski']","['George Clooney', 'Sean Lynch', 'Julia Roberts']",Romance,"['United Kingdom', 'Japan', 'United States']","['Airlie Beach, Queensland, Australia']","['English', 'Indonesian', 'Italian', 'French']",2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",Action Epic,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
Talk to Me,1h 35m,R,7.1,92181735.0,"['Danny Philippou', 'Michael Philippou']","['Danny Philippou', 'Bill Hinzman', 'Daley Pearson']","['Ari McCarthy', 'Hamish Phillips', 'Kit Erhart-Bruce']",Supernatural Horror,"['Australia', 'United Kingdom']","['Adelaide, South Australia, Australia']","['English', 'French', 'Greek']",2022
Talk to Me,1h 35m,R,7.1,92181735.0,"['Danny Philippou', 'Michael Philippou']","['Danny Philippou', 'Bill Hinzman', 'Daley Pearson']","['Ari McCarthy', 'Hamish Phillips', 'Kit Erhart-Bruce']",Teen Horror,"['Australia', 'United Kingdom']","['Adelaide, South Australia, Australia']","['English', 'French', 'Greek']",2022
Talk to Me,1h 35m,R,7.1,92181735.0,"['Danny Philippou', 'Michael Philippou']","['Danny Philippou', 'Bill Hinzman', 'Daley Pearson']","['Ari McCarthy', 'Hamish Phillips', 'Kit Erhart-Bruce']",Horror,"['Australia', 'United Kingdom']","['Adelaide, South Australia, Australia']","['English', 'French', 'Greek']",2022
Dragon Ball Super: Super Hero,1h 40m,PG-13,7.1,86562140.0,['Tetsuro Kodama'],['Akira Toriyama'],"['Masako Nozawa', 'Aya Hisakawa', 'Ryô Horikawa']",Animation,['Japan'],[],"['English', 'Japanese']",2022
Dragon Ball Super: Super Hero,1h 40m,PG-13,7.1,86562140.0,['Tetsuro Kodama'],['Akira Toriyama'],"['Masako Nozawa', 'Aya Hisakawa', 'Ryô Horikawa']",Fantasy,['Japan'],[],"['English', 'Japanese']",2022
Strange World,1h 42m,PG,5.7,73621640.0,"['Don Hall', 'Qui Nguyen']",['Qui Nguyen'],"['Jake Gyllenhaal', 'Jaboukie Young-White', 'Gabrielle Union']",Computer Animation,"['United States', 'Japan']","['Walt Disney Animation Studios - 2100 Riverside Drive, Burbank, California, USA']",['English'],2022
Three Thousand Years of Longing,1h 48m,R,6.7,20282422.0,['George Miller'],"['George Miller', 'Augusta Gore', 'A.S. Byatt']","['Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu']",Drama,"['Australia', 'United States']","['University of Sydney, Camperdown, Sydney, New South Wales, Australia']","['English', 'Greek, Ancient (to 1453)', 'Turkish', 'German', 'French', 'Russian']",2022
Three Thousand Years of Longing,1h 48m,R,6.7,20282422.0,['George Miller'],"['George Miller', 'Augusta Gore', 'A.S. Byatt']","['Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu']",Fantasy,"['Australia', 'United States']","['University of Sydney, Camperdown, Sydney, New South Wales, Australia']","['English', 'Greek, Ancient (to 1453)', 'Turkish', 'German', 'French', 'Russian']",2022
Three Thousand Years of Longing,1h 48m,R,6.7,20282422.0,['George Miller'],"['George Miller', 'Augusta Gore', 'A.S. Byatt']","['Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu']",Romance,"['Australia', 'United States']","['University of Sydney, Camperdown, Sydney, New South Wales, Australia']","['English', 'Greek, Ancient (to 1453)', 'Turkish', 'German', 'French', 'Russian']",2022
Ponniyin Selvan: Part I,2h 47m,,7.6,21888295.0,"['Mani Ratnam', 'Sruti Harihara Subramanian']","['Mani Ratnam', 'Jayamohan', 'Kumaravel']","['Vikram', 'Aishwarya Rai Bachchan', 'Trisha Krishnan']",Drama,['India'],"['Pondicherry, India']","['Malayalam', 'Kannada', 'Telugu', 'Tamil']",2022
