Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Action Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Adventure Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Sci-Fi Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Family,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Sci-Fi,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
The Batman,2h 56m,PG-13,7.8,772319315.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Action Epic,['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['English', 'Spanish', 'Latin', 'Italian']",2022
M3GAN,1h 42m,PG-13,6.3,180089109.0,['Gerard Johnstone'],"['Akela Cooper', 'James Wan']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng']",Horror,"['United States', 'New Zealand']",['New Zealand'],['English'],2022
M3GAN,1h 42m,PG-13,6.3,180089109.0,['Gerard Johnstone'],"['Akela Cooper', 'James Wan']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng']",Sci-Fi,"['United States', 'New Zealand']",['New Zealand'],['English'],2022
M3GAN,1h 42m,PG-13,6.3,180089109.0,['Gerard Johnstone'],"['Akela Cooper', 'James Wan']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng']",Thriller,"['United States', 'New Zealand']",['New Zealand'],['English'],2022
Don't Worry Darling,2h 3m,R,6.3,87609403.0,['Olivia Wilde'],"['Katie Silberman', 'Carey Van Dyke', 'Shane Van Dyke']","['Florence Pugh', 'Harry Styles', 'Chris Pine']",Thriller,['United States'],"['Palm Springs, California, USA']",['English'],2022
