Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Adventure,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Animation,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Comedy,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Family,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Fantasy,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Sci-Fi,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Horror,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Mystery,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Thriller,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
Halloween Ends,1h 51m,R,5.0,104374176.0,['David Gordon Green'],"['John Carpenter', 'Debra Hill', 'Paul Brad Logan']","['Jamie Lee Curtis', 'Andi Matichak', 'James Jude Courtney']",Thriller,['United States'],"['Savannah, Georgia, USA']",['English'],2022
Dog,1h 41m,PG-13,6.5,84550282.0,"['Reid Carolin', 'Channing Tatum']","['Reid Carolin', 'Brett Rodriguez']","['Channing Tatum', 'Ryder McLaughlin', 'Aavi Haas']",Buddy Comedy,['United States'],"['Santa Clarita, California, USA']","['English', 'Spanish', 'Arabic']",2022
Dog,1h 41m,PG-13,6.5,84550282.0,"['Reid Carolin', 'Channing Tatum']","['Reid Carolin', 'Brett Rodriguez']","['Channing Tatum', 'Ryder McLaughlin', 'Aavi Haas']",Comedy,['United States'],"['Santa Clarita, California, USA']","['English', 'Spanish', 'Arabic']",2022
Jackass Forever,1h 36m,R,6.8,80563999.0,['Jeff Tremaine'],"[""Jason 'Wee Man' Acuña"", 'Derrick Beckles', 'J.P. Blackmon']","['Johnny Knoxville', 'Steve-O', 'Chris Pontius']",Action,['United States'],"['Los Angeles, California, USA']",['English'],2022
Jackass Forever,1h 36m,R,6.8,80563999.0,['Jeff Tremaine'],"[""Jason 'Wee Man' Acuña"", 'Derrick Beckles', 'J.P. Blackmon']","['Johnny Knoxville', 'Steve-O', 'Chris Pontius']",Comedy,['United States'],"['Los Angeles, California, USA']",['English'],2022
Jackass Forever,1h 36m,R,6.8,80563999.0,['Jeff Tremaine'],"[""Jason 'Wee Man' Acuña"", 'Derrick Beckles', 'J.P. Blackmon']","['Johnny Knoxville', 'Steve-O', 'Chris Pontius']",Documentary,['United States'],"['Los Angeles, California, USA']",['English'],2022
