Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Action Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Adventure Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Sci-Fi Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Action,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Adventure,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Comedy,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Comedy,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Family,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Sonic the Hedgehog 2,2h 2m,PG,6.5,405421518.0,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'John Whittington']","['James Marsden', 'Jim Carrey', 'Ben Schwartz']",Fantasy,"['United States', 'Japan', 'United Kingdom']","['Port Coquitlam, British Columbia, Canada']","['English', 'Russian', 'French', 'Latin', 'Hawaiian', 'Greek']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Mystery,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
