Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Black Panther: Wakanda Forever,2h 41m,PG-13,6.7,859208836.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira']",Action,['United States'],"['Cambridge, Massachusetts, USA']","['English', 'Xhosa', 'Maya', 'Spanish', 'Haitian', 'French']",2022
Black Panther: Wakanda Forever,2h 41m,PG-13,6.7,859208836.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira']",Adventure,['United States'],"['Cambridge, Massachusetts, USA']","['English', 'Xhosa', 'Maya', 'Spanish', 'Haitian', 'French']",2022
Black Panther: Wakanda Forever,2h 41m,PG-13,6.7,859208836.0,['Ryan Coogler'],"['Ryan Coogler', 'Joe Robert Cole', 'Stan Lee']","['Letitia Wright', ""Lupita Nyong'o"", 'Danai Gurira']",Drama,['United States'],"['Cambridge, Massachusetts, USA']","['English', 'Xhosa', 'Maya', 'Spanish', 'Haitian', 'French']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Supernatural Horror,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Tragedy,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
Smile,1h 55m,R,6.5,217408513.0,['Parker Finn'],['Parker Finn'],"['Sosie Bacon', 'Jessie T. Usher', 'Kyle Gallner']",Horror,['United States'],"['North Arlington, New Jersey, USA']","['English', 'Spanish']",2022
The Lost City,1h 52m,PG-13,6.1,192907684.0,"['Aaron Nee', 'Adam Nee']","['Oren Uziel', 'Dana Fox', 'Adam Nee']","['Sandra Bullock', 'Channing Tatum', 'Daniel Radcliffe']",Comedy,['United States'],"['Samana, Dominican Republic']","['English', 'Spanish', 'Latin']",2022
The Lost City,1h 52m,PG-13,6.1,192907684.0,"['Aaron Nee', 'Adam Nee']","['Oren Uziel', 'Dana Fox', 'Adam Nee']","['Sandra Bullock', 'Channing Tatum', 'Daniel Radcliffe']",Romance,['United States'],"['Samana, Dominican Republic']","['English', 'Spanish', 'Latin']",2022
Bullet Train,2h 7m,R,7.3,239268602.0,['David Leitch'],"['Zak Olkewicz', 'Kôtarô Isaka']","['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson']",One-Person Army Action,"['United States', 'Japan']","['Tokyo, Japan']","['English', 'Japanese', 'Spanish', 'Russian']",2022
Morbius,1h 44m,PG-13,5.1,167460961.0,['Daniel Espinosa'],"['Matt Sazama', 'Burk Sharpless']","['Jared Leto', 'Matt Smith', 'Adria Arjona']",Horror,['United States'],"['Northern Quarter, Manchester, England, UK']","['English', 'Spanish', 'Russian']",2022
