Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Black Adam,2h 5m,PG-13,6.2,393452111.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']",Action,"['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']",['English'],2022
Black Adam,2h 5m,PG-13,6.2,393452111.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']",Adventure,"['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']",['English'],2022
Black Adam,2h 5m,PG-13,6.2,393452111.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']",Fantasy,"['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']",['English'],2022
Nope,2h 10m,R,6.8,171235592.0,['Jordan Peele'],['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']",Sci-Fi,"['Canada', 'Japan', 'United States']","['Firestone Ranch, Agua Dulce, California, USA']","['English', 'Spanish']",2022
Nope,2h 10m,R,6.8,171235592.0,['Jordan Peele'],['Jordan Peele'],"['Daniel Kaluuya', 'Keke Palmer', 'Brandon Perea']",Thriller,"['Canada', 'Japan', 'United States']","['Firestone Ranch, Agua Dulce, California, USA']","['English', 'Spanish']",2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Computer Animation,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Time Travel,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Action,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Adventure,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Comedy,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Family,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Sci-Fi,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Everything Everywhere All at Once,2h 19m,R,7.8,143412671.0,"['Daniel Kwan', 'Daniel Scheinert']","['Daniel Kwan', 'Daniel Scheinert']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis']",Adventure,['United States'],"['400 National Way, Simi Valley, California, USA']","['English', 'Mandarin', 'Cantonese']",2022
Everything Everywhere All at Once,2h 19m,R,7.8,143412671.0,"['Daniel Kwan', 'Daniel Scheinert']","['Daniel Kwan', 'Daniel Scheinert']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis']",Comedy,['United States'],"['400 National Way, Simi Valley, California, USA']","['English', 'Mandarin', 'Cantonese']",2022
Everything Everywhere All at Once,2h 19m,R,7.8,143412671.0,"['Daniel Kwan', 'Daniel Scheinert']","['Daniel Kwan', 'Daniel Scheinert']","['Michelle Yeoh', 'Stephanie Hsu', 'Jamie Lee Curtis']",Fantasy,['United States'],"['400 National Way, Simi Valley, California, USA']","['English', 'Mandarin', 'Cantonese']",2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",Drama,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",History,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
A Man Called Otto,2h 6m,PG-13,7.5,113360085.0,['Marc Forster'],"['Fredrik Backman', 'Hannes Holm', 'David Magee']","['Tom Hanks', 'Mariana Treviño', 'Rachel Keller']",Comedy,"['United States', 'Sweden', 'Canada', 'Ireland', 'United Kingdom']","['Central Union Terminal, Toledo, Ohio, USA']","['English', 'Spanish']",2022
