Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Top Gun: Maverick,2h 10m,PG-13,8.2,1495696292.0,['Joseph Kosinski'],"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Epic,['United States'],"['Eldorado National Forest, California, USA']",['English'],2022
Top Gun: Maverick,2h 10m,PG-13,8.2,1495696292.0,['Joseph Kosinski'],"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Action,['United States'],"['Eldorado National Forest, California, USA']",['English'],2022
Top Gun: Maverick,2h 10m,PG-13,8.2,1495696292.0,['Joseph Kosinski'],"['Jim Cash', 'Jack Epps Jr.', 'Peter Craig']","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']",Drama,['United States'],"['Eldorado National Forest, California, USA']",['English'],2022
Bodies Bodies Bodies,1h 34m,R,6.2,13929670.0,['Halina Reijn'],"['Sarah DeLappe', 'Kristen Roupenian']","['Amandla Stenberg', 'Maria Bakalova', ""Myha'la""]",Dark Comedy,"['United States', 'France']","['Chappaqua, New York, USA']",['English'],2022
Bodies Bodies Bodies,1h 34m,R,6.2,13929670.0,['Halina Reijn'],"['Sarah DeLappe', 'Kristen Roupenian']","['Amandla Stenberg', 'Maria Bakalova', ""Myha'la""]",Teen Horror,"['United States', 'France']","['Chappaqua, New York, USA']",['English'],2022
Bodies Bodies Bodies,1h 34m,R,6.2,13929670.0,['Halina Reijn'],"['Sarah DeLappe', 'Kristen Roupenian']","['Amandla Stenberg', 'Maria Bakalova', ""Myha'la""]",Comedy,"['United States', 'France']","['Chappaqua, New York, USA']",['English'],2022
Terrifier 2,2h 18m,Not Rated,6.1,15741780.0,['Damien Leone'],['Damien Leone'],"['Lauren LaVera', 'David Howard Thornton', 'Elliott Fullam']",Supernatural Horror,['United States'],"[""QXT's Night Club - 248 Mulberry St, Newark, New Jersey, USA""]",['English'],2022
Terrifier 2,2h 18m,Not Rated,6.1,15741780.0,['Damien Leone'],['Damien Leone'],"['Lauren LaVera', 'David Howard Thornton', 'Elliott Fullam']",Teen Horror,['United States'],"[""QXT's Night Club - 248 Mulberry St, Newark, New Jersey, USA""]",['English'],2022
Terrifier 2,2h 18m,Not Rated,6.1,15741780.0,['Damien Leone'],['Damien Leone'],"['Lauren LaVera', 'David Howard Thornton', 'Elliott Fullam']",Horror,['United States'],"[""QXT's Night Club - 248 Mulberry St, Newark, New Jersey, USA""]",['English'],2022
Family Camp,1h 51m,PG,4.8,3973263.0,['Brian Cates'],"['Brian Cates', 'Rene Gutteridge']","['Tommy Woodard', 'Eddie James', 'Leigh-Allyn Baker']",Comedy,['United States'],"['Guthrie, Oklahoma, USA']",['English'],2022
Family Camp,1h 51m,PG,4.8,3973263.0,['Brian Cates'],"['Brian Cates', 'Rene Gutteridge']","['Tommy Woodard', 'Eddie James', 'Leigh-Allyn Baker']",Family,['United States'],"['Guthrie, Oklahoma, USA']",['English'],2022
Chevalier,1h 48m,PG-13,6.5,4157264.0,['Stephen Williams'],['Stefani Robinson'],"['Kelvin Harrison Jr.', 'Samara Weaving', 'Lucy Boynton']",Biography,['United States'],['Czech Republic'],['English'],2022
Breaking,1h 43m,PG-13,6.3,2806359.0,['Abi Damaris Corbin'],"['Abi Damaris Corbin', 'Kwame Kwei-Armah', 'Aaron Gell']","['John Boyega', 'Nicole Beharie', 'Selenis Leyva']",Thriller,"['United States', 'United Kingdom']","['Los Angeles, California, USA']",['English'],2022
Honk for Jesus. Save Your Soul.,1h 46m,R,5.3,2561270.0,['Adamma Ebo'],['Adamma Ebo'],"['Regina Hall', 'Sterling K. Brown', 'Nicole Beharie']",Comedy,['United States'],"['Atlanta, Georgia, USA']",['English'],2022
Mack & Rita,1h 34m,PG-13,4.8,2707837.0,['Katie Aselton'],"['Madeline Walter', 'Paul Welsh']","['Diane Keaton', 'Elizabeth Lail', 'Molly Duplass']",Comedy,"['United States', 'Luxembourg']","['Los Angeles, California, USA']",['English'],2022
Skinamarink,1h 40m,Not Rated,4.7,2116254.0,['Kyle Edward Ball'],['Kyle Edward Ball'],"['Lucas Paul', 'Dali Rose Tetreault', 'Ross Paul']",Mystery,['United States'],"['Edmonton, Alberta, Canada']",['English'],2022
Jeepers Creepers: Reborn,1h 28m,R,2.6,6175213.0,['Timo Vuorensola'],"['Jake Seal', 'Sean-Michael Argo']","['Jarreau Benjamin', 'Sydney Craven', 'Imran Adams']",Horror,"['United States', 'United Kingdom']","['Black Hangar Studios, Lasham, Alton GU34 5SR, United Kingdom']",['English'],2022
Jeepers Creepers: Reborn,1h 28m,R,2.6,6175213.0,['Timo Vuorensola'],"['Jake Seal', 'Sean-Michael Argo']","['Jarreau Benjamin', 'Sydney Craven', 'Imran Adams']",Mystery,"['United States', 'United Kingdom']","['Black Hangar Studios, Lasham, Alton GU34 5SR, United Kingdom']",['English'],2022
The Kashmir Files,2h 50m,Not Rated,8.5,24821898.0,['Vivek Agnihotri'],"['Vivek Agnihotri', 'Saurabh M. Pandey']","['Mithun Chakraborty', 'Anupam Kher', 'Darshan Kumaar']",Drama,['India'],[],['Hindi'],2022
2000 Mules,1h 29m,,5.1,1465513.0,"[""Debbie D'Souza"", ""Dinesh D'Souza"", 'Bruce Schooley']","[""Debbie D'Souza"", ""Dinesh D'Souza"", 'Bruce Schooley']","[""Dinesh D'Souza"", 'Catherine Engelbrecht', 'Gregg Phillips']",Documentary,['United States'],[],['English'],2022
Turning Red,1h 40m,PG,7.0,21813358.0,['Domee Shi'],"['Domee Shi', 'Julia Cho', 'Sarah Streicher']","['Rosalie Chiang', 'Sandra Oh', 'Ava Morse']",Coming-of-Age,"['United States', 'Canada']","['Toronto, Ontario, Canada']","['English', 'Cantonese', 'Korean']",2022
After Ever Happy,1h 35m,R,4.7,19238073.0,['Castille Landon'],"['Anna Todd', 'Sharon Soboil']","['Josephine Langford', 'Hero Fiennes Tiffin', 'Louise Lombard']",Romance,['United States'],"['Sofia, Bulgaria']",['English'],2022
EO,1h 28m,Not Rated,6.7,2585252.0,['Jerzy Skolimowski'],"['Ewa Piaskowska', 'Jerzy Skolimowski']","['Hola', 'Tako', 'Marietta']",Psychological Drama,"['Poland', 'Italy']","['Jezioro Bystrzyckie, Dolnoslaskie, Poland']","['Polish', 'Italian', 'English', 'French', 'Spanish']",2022
EO,1h 28m,Not Rated,6.7,2585252.0,['Jerzy Skolimowski'],"['Ewa Piaskowska', 'Jerzy Skolimowski']","['Hola', 'Tako', 'Marietta']",Drama,"['Poland', 'Italy']","['Jezioro Bystrzyckie, Dolnoslaskie, Poland']","['Polish', 'Italian', 'English', 'French', 'Spanish']",2022
Gangubai Kathiawadi,2h 32m,TV-MA,7.8,3271210.0,['Sanjay Leela Bhansali'],"['Sanjay Leela Bhansali', 'Abhiruchi Chand', 'Saurabh H. Dikshit']","['Alia Bhatt', 'Shantanu Maheshwari', 'Vijay Raaz']",Drama,['India'],"['Mumbai, Maharashtra, India']",['Hindi'],2022
Cuando sea joven,2h,PG,7.1,2028077.0,['Raúl Martínez'],"['Juan Carlos Garzón', 'Angélica Gudiño']","['Verónica Castro', 'Natasha Dupeyrón', 'Michael Ronda']",Comedy,['Mexico'],[],['Spanish'],2022
Of an Age,1h 40m,R,7.1,557944.0,['Goran Stolevski'],['Goran Stolevski'],"['Matthew Page', 'Thom Green', 'Louise Child']",Drama,['Australia'],[],"['English', 'Serbian']",2022
Alice,1h 40m,R,5.6,373043.0,['Krystin Ver Linden'],['Krystin Ver Linden'],"['Keke Palmer', 'Common', 'Jonny Lee Miller']",Crime,['United States'],['USA'],['English'],2022
Alice,1h 40m,R,5.6,373043.0,['Krystin Ver Linden'],['Krystin Ver Linden'],"['Keke Palmer', 'Common', 'Jonny Lee Miller']",Drama,['United States'],['USA'],['English'],2022
Alice,1h 40m,R,5.6,373043.0,['Krystin Ver Linden'],['Krystin Ver Linden'],"['Keke Palmer', 'Common', 'Jonny Lee Miller']",Thriller,['United States'],['USA'],['English'],2022
Driving Madeleine,1h 31m,,7.1,5471385.0,['Christian Carion'],"['Cyril Gely', 'Christian Carion']","['Line Renaud', 'Dany Boon', 'Alice Isaaz']",Comedy,"['France', 'Belgium']","['Paris, France']",['French'],2022
Driving Madeleine,1h 31m,,7.1,5471385.0,['Christian Carion'],"['Cyril Gely', 'Christian Carion']","['Line Renaud', 'Dany Boon', 'Alice Isaaz']",Drama,"['France', 'Belgium']","['Paris, France']",['French'],2022
Fourth of July,1h 30m,Not Rated,6.7,325070.0,['Louis C.K.'],"['Louis C.K.', 'Joe List']","['Louis C.K.', ""Rodney 'Godfather Don' Chapman"", 'Jason Clotter']",Comedy,['United States'],[],['English'],2022
CatVideoFest 2022,1h 15m,,,217330.0,['Will Braden'],[],[],Documentary,['United States'],[],[],2022
One Fine Morning,1h 52m,R,7.0,1467217.0,['Mia Hansen-Løve'],['Mia Hansen-Løve'],"['Léa Seydoux', 'Pascal Greggory', 'Melvil Poupaud']",Drama,"['France', 'United Kingdom', 'Germany']","['Lac Daumesnil, Paris, France']","['French', 'English', 'German']",2022
One Fine Morning,1h 52m,R,7.0,1467217.0,['Mia Hansen-Løve'],['Mia Hansen-Løve'],"['Léa Seydoux', 'Pascal Greggory', 'Melvil Poupaud']",Romance,"['France', 'United Kingdom', 'Germany']","['Lac Daumesnil, Paris, France']","['French', 'English', 'German']",2022
When You Finish Saving the World,1h 28m,R,5.6,196920.0,['Jesse Eisenberg'],['Jesse Eisenberg'],"['Julianne Moore', 'Finn Wolfhard', 'Billy Bryk']",Comedy,['United States'],"['Albuquerque, New Mexico, USA']",['English'],2022
When You Finish Saving the World,1h 28m,R,5.6,196920.0,['Jesse Eisenberg'],['Jesse Eisenberg'],"['Julianne Moore', 'Finn Wolfhard', 'Billy Bryk']",Drama,['United States'],"['Albuquerque, New Mexico, USA']",['English'],2022
Enys Men,1h 36m,,5.6,583364.0,['Mark Jenkin'],['Mark Jenkin'],"['Mary Woodvine', 'Edward Rowe', 'Flo Crowe']",Psychological Horror,['United Kingdom'],"['West Penwith, Cornwall, UK']",['English'],2022
Water Gate Bridge,2h 33m,,5.6,626571697.0,"['Tsui Hark', 'Kaige Chen', 'Dante Lam']","['Jianxin Huang', 'Xiaolong Lan', 'Xiaojiang Quji']","['Jing Wu', 'Jackson Yee', 'Michael Koltes']",Period Drama,['China'],"['Beijing, China']","['Mandarin', 'English']",2022
Water Gate Bridge,2h 33m,,5.6,626571697.0,"['Tsui Hark', 'Kaige Chen', 'Dante Lam']","['Jianxin Huang', 'Xiaolong Lan', 'Xiaojiang Quji']","['Jing Wu', 'Jackson Yee', 'Michael Koltes']",War Epic,['China'],"['Beijing, China']","['Mandarin', 'English']",2022
Water Gate Bridge,2h 33m,,5.6,626571697.0,"['Tsui Hark', 'Kaige Chen', 'Dante Lam']","['Jianxin Huang', 'Xiaolong Lan', 'Xiaojiang Quji']","['Jing Wu', 'Jackson Yee', 'Michael Koltes']",Action,['China'],"['Beijing, China']","['Mandarin', 'English']",2022
Decibel,1h 50m,,6.1,7212471.0,['In-ho Hwang'],"['In-ho Hwang', 'Jin-hoon Lee']","['Kim Rae-won', 'Park Byeong-eun', 'Jo Dal-hwan']",Drama,['South Korea'],[],['Korean'],2022
Decibel,1h 50m,,6.1,7212471.0,['In-ho Hwang'],"['In-ho Hwang', 'Jin-hoon Lee']","['Kim Rae-won', 'Park Byeong-eun', 'Jo Dal-hwan']",Thriller,['South Korea'],[],['Korean'],2022
Biosphere,1h 46m,,5.5,96257.0,['Mel Eslyn'],"['Mel Eslyn', 'Mark Duplass']","['Sterling K. Brown', 'Mark Duplass']",Dark Comedy,['United States'],['USA'],['English'],2022
Free Chol Soo Lee,1h 23m,PG-13,7.2,56122.0,"['Julie Ha', 'Eugene Yi']","['Carol Dysinger', 'Julie Ha', 'Chol Soo Lee']","['Chol Soo Lee', 'Jeff Adachi', 'K.W. Lee']",Documentary,['United States'],[],"['English', 'Korean']",2022
Fireheart,1h 32m,TV-PG,6.2,6245634.0,"['Theodore Ty', 'Laurent Zeitoun']","['Laurent Zeitoun', 'Jennica Harper', 'Lisa Hunter']","['Alice Pol', 'Vincent Cassel', 'Valérie Lemercier']",Computer Animation,"['France', 'Canada', 'United Kingdom']",[],"['English', 'Spanish']",2022
Fireheart,1h 32m,TV-PG,6.2,6245634.0,"['Theodore Ty', 'Laurent Zeitoun']","['Laurent Zeitoun', 'Jennica Harper', 'Lisa Hunter']","['Alice Pol', 'Vincent Cassel', 'Valérie Lemercier']",Adventure,"['France', 'Canada', 'United Kingdom']",[],"['English', 'Spanish']",2022
The Super 8 Years,1h 3m,,6.8,30739.0,"['Annie Ernaux', 'David Ernaux-Briot']",['Annie Ernaux'],"['Blanche Madeleine Dumenil Duchesne', 'Annie Ernaux', 'Dominique Ernaux']",Biography,['France'],[],['French'],2022
The Super 8 Years,1h 3m,,6.8,30739.0,"['Annie Ernaux', 'David Ernaux-Briot']",['Annie Ernaux'],"['Blanche Madeleine Dumenil Duchesne', 'Annie Ernaux', 'Dominique Ernaux']",Documentary,['France'],[],['French'],2022
The Super 8 Years,1h 3m,,6.8,30739.0,"['Annie Ernaux', 'David Ernaux-Briot']",['Annie Ernaux'],"['Blanche Madeleine Dumenil Duchesne', 'Annie Ernaux', 'Dominique Ernaux']",Drama,['France'],[],['French'],2022
Four Samosas,1h 20m,PG-13,5.5,14701.0,['Ravi Kapoor'],['Ravi Kapoor'],"['Venk Potula', 'Sonal Shah', 'Sharmita Bhattacharya']",Action,['United States'],[],['English'],2022
God's Time,1h 23m,,5.0,10033.0,['Daniel Antebi'],['Daniel Antebi'],"['Ben Groh', 'Dion Costelloe', 'Christiane Seidel']",Drama,['United States'],[],['English'],2022
Shaan,2h 30m,,6.1,11911.0,['M Raahim'],"['Nazim Ud Daula', 'Azad Khan']","['Siam Ahmed', 'Puja Cherry Roy', 'Imam Hossain Saju']",Action,['Bangladesh'],[],['Bengali'],2022
Shaan,2h 30m,,6.1,11911.0,['M Raahim'],"['Nazim Ud Daula', 'Azad Khan']","['Siam Ahmed', 'Puja Cherry Roy', 'Imam Hossain Saju']",Crime,['Bangladesh'],[],['Bengali'],2022
Tantura,1h 34m,,8.5,6967.0,['Alon Schwarz'],"['Halil Efrat', 'Alon Schwarz', 'Shaul Schwarz']","['Avigdor Feldman', 'Yoav Gelber', 'Teddy Katz']",Military Documentary,['Israel'],[],"['Hebrew', 'Arabic', 'English']",2022
Tantura,1h 34m,,8.5,6967.0,['Alon Schwarz'],"['Halil Efrat', 'Alon Schwarz', 'Shaul Schwarz']","['Avigdor Feldman', 'Yoav Gelber', 'Teddy Katz']",Documentary,['Israel'],[],"['Hebrew', 'Arabic', 'English']",2022
Tantura,1h 34m,,8.5,6967.0,['Alon Schwarz'],"['Halil Efrat', 'Alon Schwarz', 'Shaul Schwarz']","['Avigdor Feldman', 'Yoav Gelber', 'Teddy Katz']",History,['Israel'],[],"['Hebrew', 'Arabic', 'English']",2022
Imagining the Indian,1h 35m,,2.9,1380.0,"['Aviva Kempner', 'Ben West']",[],[],Documentary,['United States'],[],['English'],2022
The Almond and the Seahorse,1h 36m,Unrated,5.4,5619.0,"['Celyn Jones', 'Tom Stern']","['Celyn Jones', ""Kaite O'Reilly""]","['Rebel Wilson', 'Charlotte Gainsbourg', 'Trine Dyrholm']",Psychological Drama,['United Kingdom'],"['New Brighton, Wallasey, Merseyside, England, UK']",['English'],2022
The Almond and the Seahorse,1h 36m,Unrated,5.4,5619.0,"['Celyn Jones', 'Tom Stern']","['Celyn Jones', ""Kaite O'Reilly""]","['Rebel Wilson', 'Charlotte Gainsbourg', 'Trine Dyrholm']",Drama,['United Kingdom'],"['New Brighton, Wallasey, Merseyside, England, UK']",['English'],2022
