Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Jurassic World Dominion,2h 27m,PG-13,5.6,1001978080.0,['Colin Trevorrow'],"['Emily Carmichael', 'Colin Trevorrow', 'Derek Connolly']","['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Thriller,"['United States', 'China', 'Malta']","['Valletta, Malta']","['English', 'Maltese', 'French']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Computer Animation,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Adventure,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Comedy,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Crime,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Family,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
DC League of Super-Pets,1h 45m,PG,7.1,207557117.0,"['Jared Stern', 'Sam J. Levine']","['Jared Stern', 'John Whittington', 'Jerry Siegel']","['Dwayne Johnson', 'Kevin Hart', 'Kate McKinnon']",Adventure,"['United States', 'Australia', 'Canada']","['Washington, District of Columbia, USA']","['English', 'Spanish']",2022
DC League of Super-Pets,1h 45m,PG,7.1,207557117.0,"['Jared Stern', 'Sam J. Levine']","['Jared Stern', 'John Whittington', 'Jerry Siegel']","['Dwayne Johnson', 'Kevin Hart', 'Kate McKinnon']",Animation,"['United States', 'Australia', 'Canada']","['Washington, District of Columbia, USA']","['English', 'Spanish']",2022
DC League of Super-Pets,1h 45m,PG,7.1,207557117.0,"['Jared Stern', 'Sam J. Levine']","['Jared Stern', 'John Whittington', 'Jerry Siegel']","['Dwayne Johnson', 'Kevin Hart', 'Kate McKinnon']",Comedy,"['United States', 'Australia', 'Canada']","['Washington, District of Columbia, USA']","['English', 'Spanish']",2022
Marry Me,1h 52m,PG-13,6.1,50541093.0,['Kat Coiro'],"['John Rogers', 'Tami Sagher', 'Harper Dill']","['Jennifer Lopez', 'Owen Wilson', 'Maluma']",Romance,"['United States', 'China', 'Japan']","['Red Hook, Brooklyn, New York, USA']","['English', 'Spanish']",2022
