Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
A Compassionate Spy,1h 41m,,6.6,34502.0,['Steve James'],[],"['Joan Hall', 'Ted Hall', 'Joseph Albright']",History,['United States'],[],['English'],2022
The Civil Dead,1h 44m,,6.2,32714.0,['Clay Tatum'],"['Clay Tatum', 'Whitmer Thomas']","['Clay Tatum', 'Whitmer Thomas', 'DeMorge Brown']",Comedy,['United States'],[],['English'],2022
Falcon Lake,1h 40m,,7.1,155392.0,['Charlotte Le Bon'],"['Charlotte Le Bon', 'François Choquet', 'Bastien Vivès']","['Joseph Engel', 'Sara Montpetit', 'Monia Chokri']",Drama,"['France', 'Canada']","['Laurentides, Québec, Canada']","['French', 'English']",2022
Falcon Lake,1h 40m,,7.1,155392.0,['Charlotte Le Bon'],"['Charlotte Le Bon', 'François Choquet', 'Bastien Vivès']","['Joseph Engel', 'Sara Montpetit', 'Monia Chokri']",Fantasy,"['France', 'Canada']","['Laurentides, Québec, Canada']","['French', 'English']",2022
Falcon Lake,1h 40m,,7.1,155392.0,['Charlotte Le Bon'],"['Charlotte Le Bon', 'François Choquet', 'Bastien Vivès']","['Joseph Engel', 'Sara Montpetit', 'Monia Chokri']",Romance,"['France', 'Canada']","['Laurentides, Québec, Canada']","['French', 'English']",2022
My Imaginary Country,1h 23m,,7.1,16191.0,['Patricio Guzmán'],['Patricio Guzmán'],[],Documentary,"['Chile', 'France']",[],['Spanish'],2022
The Grab,1h 42m,,7.2,11984.0,['Gabriela Cowperthwaite'],['Gabriela Cowperthwaite'],"['Rod Schoonover', 'Nathan Halverson', 'Holly Irwin']",Documentary,['United States'],[],"['English', 'Russian', 'Ukrainian']",2022
Skin Deep,1h 43m,Unrated,6.2,10342.0,['Alex Schaad'],"['Dimitrij Schaad', 'Alex Schaad']","['Mala Emde', 'Jonas Dassler', 'Dimitrij Schaad']",Drama,['Germany'],[],['German'],2022
Skin Deep,1h 43m,Unrated,6.2,10342.0,['Alex Schaad'],"['Dimitrij Schaad', 'Alex Schaad']","['Mala Emde', 'Jonas Dassler', 'Dimitrij Schaad']",Fantasy,['Germany'],[],['German'],2022
Skin Deep,1h 43m,Unrated,6.2,10342.0,['Alex Schaad'],"['Dimitrij Schaad', 'Alex Schaad']","['Mala Emde', 'Jonas Dassler', 'Dimitrij Schaad']",Romance,['Germany'],[],['German'],2022
