Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Action Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Adventure Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Avatar: The Way of Water,3h 12m,PG-13,7.5,2320250281.0,['James Cameron'],"['James Cameron', 'Rick Jaffa', 'Amanda Silver']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']",Sci-Fi Epic,['United States'],"['Stone Street Studios, Wellington, New Zealand']",['English'],2022
Where the Crawdads Sing,2h 5m,PG-13,7.2,144353965.0,['Olivia Newman'],"['Delia Owens', 'Lucy Alibar']","['Daisy Edgar-Jones', 'Taylor John Smith', 'Harris Dickinson']",Drama,['United States'],"['Houma, Louisiana, USA']",['English'],2022
Where the Crawdads Sing,2h 5m,PG-13,7.2,144353965.0,['Olivia Newman'],"['Delia Owens', 'Lucy Alibar']","['Daisy Edgar-Jones', 'Taylor John Smith', 'Harris Dickinson']",Mystery,['United States'],"['Houma, Louisiana, USA']",['English'],2022
Where the Crawdads Sing,2h 5m,PG-13,7.2,144353965.0,['Olivia Newman'],"['Delia Owens', 'Lucy Alibar']","['Daisy Edgar-Jones', 'Taylor John Smith', 'Harris Dickinson']",Romance,['United States'],"['Houma, Louisiana, USA']",['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Comedy,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Family,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Fantasy,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
Dragon Ball Super: Super Hero,1h 40m,PG-13,7.1,86562140.0,['Tetsuro Kodama'],['Akira Toriyama'],"['Masako Nozawa', 'Aya Hisakawa', 'Ryô Horikawa']",Fantasy,['Japan'],[],"['English', 'Japanese']",2022
