Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Puss in Boots: The Last Wish,1h 42m,PG,7.8,481757663.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']",Quest,"['United States', 'Japan']",[],"['English', 'Spanish']",2022
Puss in Boots: The Last Wish,1h 42m,PG,7.8,481757663.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']",Swashbuckler,"['United States', 'Japan']",[],"['English', 'Spanish']",2022
Puss in Boots: The Last Wish,1h 42m,PG,7.8,481757663.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']",Action,"['United States', 'Japan']",[],"['English', 'Spanish']",2022
Black Adam,2h 5m,PG-13,6.2,393452111.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']",Adventure,"['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']",['English'],2022
Black Adam,2h 5m,PG-13,6.2,393452111.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']",Fantasy,"['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']",['English'],2022
Black Adam,2h 5m,PG-13,6.2,393452111.0,['Jaume Collet-Serra'],"['Adam Sztykiel', 'Rory Haines', 'Sohrab Noshirvani']","['Dwayne Johnson', 'Aldis Hodge', 'Pierce Brosnan']",Sci-Fi,"['United States', 'Canada', 'New Zealand', 'Hungary']","['Atlanta, Georgia, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Space Sci-Fi,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Superhero,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
Lightyear,1h 45m,PG,6.1,226425420.0,['Angus MacLane'],"['Angus MacLane', 'Matthew Aldrich', 'Jason Headley']","['Chris Evans', 'Keke Palmer', 'Peter Sohn']",Time Travel,"['United States', 'Canada']","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']",['English'],2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",Action Epic,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",Historical Epic,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",Action,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
The Woman King,2h 15m,PG-13,6.9,97562514.0,['Gina Prince-Bythewood'],"['Dana Stevens', 'Maria Bello']","['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch']",History,"['United States', 'South Africa', 'Ireland']",['Benin'],"['English', 'Portuguese', 'Fon']",2022
A Man Called Otto,2h 6m,PG-13,7.5,113360085.0,['Marc Forster'],"['Fredrik Backman', 'Hannes Holm', 'David Magee']","['Tom Hanks', 'Mariana Treviño', 'Rachel Keller']",Comedy,"['United States', 'Sweden', 'Canada', 'Ireland', 'United Kingdom']","['Central Union Terminal, Toledo, Ohio, USA']","['English', 'Spanish']",2022
A Man Called Otto,2h 6m,PG-13,7.5,113360085.0,['Marc Forster'],"['Fredrik Backman', 'Hannes Holm', 'David Magee']","['Tom Hanks', 'Mariana Treviño', 'Rachel Keller']",Drama,"['United States', 'Sweden', 'Canada', 'Ireland', 'United Kingdom']","['Central Union Terminal, Toledo, Ohio, USA']","['English', 'Spanish']",2022
The Bob's Burgers Movie,1h 42m,PG-13,7.0,34148750.0,"['Loren Bouchard', 'Bernard Derriman']","['Loren Bouchard', 'Nora Smith', 'Tony Gennaro']","['H. Jon Benjamin', 'Kristen Schaal', 'Dan Mintz']",Adventure,['United States'],[],"['English', 'German']",2022
The Bob's Burgers Movie,1h 42m,PG-13,7.0,34148750.0,"['Loren Bouchard', 'Bernard Derriman']","['Loren Bouchard', 'Nora Smith', 'Tony Gennaro']","['H. Jon Benjamin', 'Kristen Schaal', 'Dan Mintz']",Animation,['United States'],[],"['English', 'German']",2022
The Bob's Burgers Movie,1h 42m,PG-13,7.0,34148750.0,"['Loren Bouchard', 'Bernard Derriman']","['Loren Bouchard', 'Nora Smith', 'Tony Gennaro']","['H. Jon Benjamin', 'Kristen Schaal', 'Dan Mintz']",Comedy,['United States'],[],"['English', 'German']",2022
Ambulance,2h 16m,R,6.1,52303589.0,['Michael Bay'],"['Chris Fedak', 'Laurits Munch-Petersen', 'Lars Andreas Pedersen']","['Jake Gyllenhaal', 'Yahya Abdul-Mateen II', 'Eiza González']",Thriller,"['United States', 'Japan']","['Grand Central Market - 317 S. Broadway, Downtown, Los Angeles, California, USA']","['English', 'Spanish', 'Cantonese']",2022
Marry Me,1h 52m,PG-13,6.1,50541093.0,['Kat Coiro'],"['John Rogers', 'Tami Sagher', 'Harper Dill']","['Jennifer Lopez', 'Owen Wilson', 'Maluma']",Romantic Comedy,"['United States', 'China', 'Japan']","['Red Hook, Brooklyn, New York, USA']","['English', 'Spanish']",2022
Marry Me,1h 52m,PG-13,6.1,50541093.0,['Kat Coiro'],"['John Rogers', 'Tami Sagher', 'Harper Dill']","['Jennifer Lopez', 'Owen Wilson', 'Maluma']",Comedy,"['United States', 'China', 'Japan']","['Red Hook, Brooklyn, New York, USA']","['English', 'Spanish']",2022
Three Thousand Years of Longing,1h 48m,R,6.7,20282422.0,['George Miller'],"['George Miller', 'Augusta Gore', 'A.S. Byatt']","['Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu']",Fantasy,"['Australia', 'United States']","['University of Sydney, Camperdown, Sydney, New South Wales, Australia']","['English', 'Greek, Ancient (to 1453)', 'Turkish', 'German', 'French', 'Russian']",2022
Three Thousand Years of Longing,1h 48m,R,6.7,20282422.0,['George Miller'],"['George Miller', 'Augusta Gore', 'A.S. Byatt']","['Tilda Swinton', 'Idris Elba', 'Erdil Yasaroglu']",Romance,"['Australia', 'United States']","['University of Sydney, Camperdown, Sydney, New South Wales, Australia']","['English', 'Greek, Ancient (to 1453)', 'Turkish', 'German', 'French', 'Russian']",2022
Brahmastra Part One: Shiva,2h 47m,Not Rated,5.6,50164785.0,['Ayan Mukerji'],"['Hussain Dalal', 'Ayan Mukerji']","['Amitabh Bachchan', 'Ranbir Kapoor', 'Alia Bhatt']",Action Epic,"['India', 'United Kingdom', 'United States']","['Sikkim, India']","['Hindi', 'English']",2022
Skinamarink,1h 40m,Not Rated,4.7,2116254.0,['Kyle Edward Ball'],['Kyle Edward Ball'],"['Lucas Paul', 'Dali Rose Tetreault', 'Ross Paul']",Supernatural Horror,['United States'],"['Edmonton, Alberta, Canada']",['English'],2022
Skinamarink,1h 40m,Not Rated,4.7,2116254.0,['Kyle Edward Ball'],['Kyle Edward Ball'],"['Lucas Paul', 'Dali Rose Tetreault', 'Ross Paul']",Horror,['United States'],"['Edmonton, Alberta, Canada']",['English'],2022
Skinamarink,1h 40m,Not Rated,4.7,2116254.0,['Kyle Edward Ball'],['Kyle Edward Ball'],"['Lucas Paul', 'Dali Rose Tetreault', 'Ross Paul']",Mystery,['United States'],"['Edmonton, Alberta, Canada']",['English'],2022
Mr. Malcolm's List,1h 57m,PG,6.0,2024507.0,['Emma Holly Jones'],['Suzanne Allain'],"['Freida Pinto', 'Sope Dirisu', 'Oliver Jackson-Cohen']",Comedy,"['United Kingdom', 'United States', 'Ireland']",['Ireland'],"['English', 'Japanese', 'Welsh', 'Korean']",2022
Mr. Malcolm's List,1h 57m,PG,6.0,2024507.0,['Emma Holly Jones'],['Suzanne Allain'],"['Freida Pinto', 'Sope Dirisu', 'Oliver Jackson-Cohen']",Drama,"['United Kingdom', 'United States', 'Ireland']",['Ireland'],"['English', 'Japanese', 'Welsh', 'Korean']",2022
Mr. Malcolm's List,1h 57m,PG,6.0,2024507.0,['Emma Holly Jones'],['Suzanne Allain'],"['Freida Pinto', 'Sope Dirisu', 'Oliver Jackson-Cohen']",Romance,"['United Kingdom', 'United States', 'Ireland']",['Ireland'],"['English', 'Japanese', 'Welsh', 'Korean']",2022
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1h 54m,PG-13,6.9,11628645.0,['Yasuhito Kikuchi'],"['Kazuyuki Fudeyasu', 'Fuse', 'Yasuki Kawakami']","['Miho Okasaki', 'Yuma Uchida', 'Fukumoto Riko']",Anime,['Japan'],[],['Japanese'],2022
