Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
Jurassic World Dominion,2h 27m,PG-13,5.6,1001978080.0,['Colin Trevorrow'],"['Emily Carmichael', 'Colin Trevorrow', 'Derek Connolly']","['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Sci-Fi,"['United States', 'China', 'Malta']","['Valletta, Malta']","['English', 'Maltese', 'French']",2022
Jurassic World Dominion,2h 27m,PG-13,5.6,1001978080.0,['Colin Trevorrow'],"['Emily Carmichael', 'Colin Trevorrow', 'Derek Connolly']","['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern']",Thriller,"['United States', 'China', 'Malta']","['Valletta, Malta']","['English', 'Maltese', 'French']",2022
Minions: The Rise of Gru,1h 27m,PG,6.5,940203765.0,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Matthew Fogel', 'Brian Lynch']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin']",Computer Animation,"['United States', 'France']","['New York City, New York, USA']","['English', 'Vietnamese']",2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Superhero,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Action,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Thor: Love and Thunder,1h 58m,PG-13,6.2,760928081.0,['Taika Waititi'],"['Taika Waititi', 'Jennifer Kaytin Robinson', 'Stan Lee']","['Chris Hemsworth', 'Natalie Portman', 'Christian Bale']",Adventure,"['Australia', 'United States']","['Little Bay, Sydney, New South Wales, Australia']",['English'],2022
Fantastic Beasts: The Secrets of Dumbledore,2h 22m,PG-13,6.2,407150844.0,['David Yates'],"['J.K. Rowling', 'Steve Kloves']","['Eddie Redmayne', 'Jude Law', 'Ezra Miller']",Fantasy,"['United Kingdom', 'United States']","['Berlin, Germany']","['English', 'German', 'Latin']",2022
M3GAN,1h 42m,PG-13,6.3,180089109.0,['Gerard Johnstone'],"['Akela Cooper', 'James Wan']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng']",Cyber Thriller,"['United States', 'New Zealand']",['New Zealand'],['English'],2022
M3GAN,1h 42m,PG-13,6.3,180089109.0,['Gerard Johnstone'],"['Akela Cooper', 'James Wan']","['Allison Williams', 'Violet McGraw', 'Ronny Chieng']",Slasher Horror,"['United States', 'New Zealand']",['New Zealand'],['English'],2022
"Lyle, Lyle, Crocodile",1h 46m,PG,6.1,111080122.0,"['Josh Gordon', 'Will Speck']","['Bernard Waber', 'William Davies']","['Javier Bardem', 'Winslow Fegley', 'Shawn Mendes']",Pop Musical,"['United States', 'United Kingdom', 'Italy']","['Marietta, Georgia']",['English'],2022
