Title,Duration,MPA,Rating,grossWorldWide,directors,writers,stars,genres,countries_origin,filming_locations,Languages,release_date
The Batman,2h 56m,PG-13,7.8,772319315.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Serial Killer,['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['English', 'Spanish', 'Latin', 'Italian']",2022
The Batman,2h 56m,PG-13,7.8,772319315.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Superhero,['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['English', 'Spanish', 'Latin', 'Italian']",2022
The Batman,2h 56m,PG-13,7.8,772319315.0,['Matt Reeves'],"['Matt Reeves', 'Peter Craig', 'Bob Kane']","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']",Action,['United States'],"['Necropolis Cemetery, Glasgow, Scotland, UK']","['English', 'Spanish', 'Latin', 'Italian']",2022
Puss in Boots: The Last Wish,1h 42m,PG,7.8,481757663.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']",Swashbuckler,"['United States', 'Japan']",[],"['English', 'Spanish']",2022
Puss in Boots: The Last Wish,1h 42m,PG,7.8,481757663.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']",Action,"['United States', 'Japan']",[],"['English', 'Spanish']",2022
Puss in Boots: The Last Wish,1h 42m,PG,7.8,481757663.0,"['Joel Crawford', 'Januel Mercado']","['Paul Fisher', 'Tommy Swerdlow', 'Tom Wheeler']","['Antonio Banderas', 'Salma Hayek', 'Harvey Guillén']",Adventure,"['United States', 'Japan']",[],"['English', 'Spanish']",2022
Beast,1h 33m,R,5.6,59095809.0,['Baltasar Kormákur'],"['Jaime Primak Sullivan', 'Ryan Engle']","['Liyabuya Gongo', 'Martin Munro', 'Daniel Hadebe']",Survival,"['United States', 'Iceland', 'Japan']",['South Africa'],['English'],2022
Beast,1h 33m,R,5.6,59095809.0,['Baltasar Kormákur'],"['Jaime Primak Sullivan', 'Ryan Engle']","['Liyabuya Gongo', 'Martin Munro', 'Daniel Hadebe']",Action,"['United States', 'Iceland', 'Japan']",['South Africa'],['English'],2022
Beast,1h 33m,R,5.6,59095809.0,['Baltasar Kormákur'],"['Jaime Primak Sullivan', 'Ryan Engle']","['Liyabuya Gongo', 'Martin Munro', 'Daniel Hadebe']",Adventure,"['United States', 'Iceland', 'Japan']",['South Africa'],['English'],2022
Devotion,2h 19m,PG-13,6.6,21768133.0,['J.D. Dillard'],"['Jake Crane', 'Jonathan Stewart', 'Adam Makos']","['Jonathan Majors', 'Glen Powell', 'Christina Jackson']",Biography,['United States'],"['Savannah, Georgia, USA']","['English', 'Korean']",2022
